order_id,customer,product,region,price,quantity,order_date,revenue
1,C415,Tablet,America,603,4,11/4/2023,2412
2,C463,Tablet,Asia,1952,2,11/23/2024,3904
3,C179,Laptop,America,189,5,6/25/2023,945
4,C526,Camera,America,1108,2,2/12/2024,2216
5,C195,Phone,America,601,4,7/26/2024,2404
6,C938,Headphone,America,1706,5,11/4/2024,8530
7,C1842,Headphone,Asia,580,4,6/30/2023,2320
8,C1142,Tablet,Europe,1888,1,12/20/2024,1888
9,C1323,Tablet,Asia,828,2,11/4/2024,1656
10,C1253,Tablet,Asia,1851,5,1/15/2024,9255
11,C1268,Laptop,America,355,1,10/8/2024,355
12,C1038,Camera,Asia,1207,2,3/30/2023,2414
13,C1398,Tablet,Asia,1056,5,3/20/2024,5280
14,C665,Laptop,America,1953,5,6/12/2024,9765
15,C602,Headphone,Asia,1015,1,11/3/2024,1015
16,C1627,Tablet,Asia,1145,4,10/26/2023,4580
17,C1792,Headphone,Europe,361,1,5/29/2023,361
18,C709,Camera,Africa,1924,2,11/18/2024,3848
19,C1011,Headphone,Africa,825,5,5/14/2023,4125
20,C1115,Laptop,Europe,526,1,6/29/2024,526
21,C953,Tablet,Africa,1712,1,11/8/2024,1712
22,C348,Laptop,America,998,4,7/17/2023,3992
23,C1017,Phone,Europe,863,5,10/17/2024,4315
24,C1673,Headphone,Asia,1591,5,6/15/2023,7955
25,C1379,Laptop,Europe,674,5,8/6/2024,3370
26,C840,Tablet,Europe,1469,5,11/6/2024,7345
27,C26,Headphone,America,421,5,10/7/2023,2105
28,C519,Headphone,America,1313,2,11/10/2023,2626
29,C1450,Tablet,Asia,183,5,8/11/2024,915
30,C1673,Tablet,Africa,382,5,4/26/2023,1910
31,C1790,Camera,Europe,435,3,12/7/2023,1305
32,C211,Tablet,Africa,1698,5,8/25/2023,8490
33,C932,Camera,Asia,1630,3,9/19/2024,4890
34,C1614,Headphone,America,839,5,7/9/2023,4195
35,C593,Laptop,Europe,1978,3,10/18/2024,5934
36,C555,Camera,Europe,710,5,1/8/2023,3550
37,C1895,Tablet,Africa,1163,3,6/4/2024,3489
38,C373,Tablet,Africa,255,1,6/27/2023,255
39,C844,Headphone,Europe,725,2,9/21/2023,1450
40,C1167,Tablet,Europe,1854,1,6/30/2023,1854
41,C544,Tablet,Asia,300,1,4/11/2023,300
42,C490,Phone,Asia,1530,3,11/29/2023,4590
43,C1645,Phone,Europe,248,1,5/15/2023,248
44,C1799,Headphone,Africa,1231,2,7/29/2024,2462
45,C905,Camera,Africa,645,1,10/22/2023,645
46,C937,Laptop,America,971,4,5/26/2023,3884
47,C1866,Phone,Africa,150,2,9/20/2023,300
48,C1047,Camera,Asia,1727,4,9/1/2023,6908
49,C923,Headphone,Europe,1540,3,5/27/2024,4620
50,C956,Laptop,Asia,791,1,1/31/2024,791
51,C309,Phone,Africa,1069,4,1/18/2023,4276
52,C1159,Tablet,America,1632,2,9/15/2024,3264
53,C1845,Phone,Africa,1741,1,11/13/2023,1741
54,C1947,Camera,America,1254,1,11/11/2023,1254
55,C1248,Camera,Asia,125,2,1/8/2024,250
56,C166,Tablet,Europe,475,5,1/14/2023,2375
57,C217,Phone,America,414,1,4/1/2023,414
58,C1314,Headphone,Africa,401,2,6/11/2023,802
59,C581,Headphone,Europe,884,2,6/29/2024,1768
60,C72,Camera,Africa,1679,3,3/26/2024,5037
61,C588,Tablet,Asia,1102,2,11/20/2023,2204
62,C1599,Camera,America,589,3,3/21/2023,1767
63,C141,Headphone,Asia,1954,2,5/28/2024,3908
64,C722,Headphone,Europe,535,2,12/17/2024,1070
65,C1889,Laptop,Europe,949,5,9/5/2024,4745
66,C859,Tablet,America,422,5,1/4/2023,2110
67,C153,Phone,Africa,1768,2,6/24/2023,3536
68,C294,Tablet,Europe,682,2,11/1/2023,1364
69,C277,Tablet,Europe,1328,2,5/14/2024,2656
70,C1487,Phone,America,1296,3,9/10/2023,3888
71,C41,Camera,Africa,1946,2,5/23/2024,3892
72,C431,Tablet,Asia,350,3,12/18/2023,1050
73,C90,Headphone,Asia,771,4,1/19/2023,3084
74,C316,Laptop,America,816,3,5/24/2023,2448
75,C1247,Tablet,America,1499,2,5/14/2024,2998
76,C528,Camera,Europe,683,2,11/17/2023,1366
77,C1140,Tablet,Europe,1143,1,10/2/2023,1143
78,C1630,Headphone,America,185,2,4/14/2023,370
79,C774,Headphone,Europe,1488,2,5/12/2024,2976
80,C747,Headphone,Asia,641,1,5/12/2023,641
81,C456,Phone,Asia,1415,5,9/30/2023,7075
82,C598,Phone,America,1715,1,8/27/2024,1715
83,C1878,Phone,America,327,3,2/26/2023,981
84,C1063,Tablet,Asia,787,1,8/29/2023,787
85,C1183,Headphone,Asia,1483,4,11/16/2023,5932
86,C752,Headphone,Asia,1290,4,11/14/2024,5160
